JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ, IGNORAR1, IGNORAR2, IGNORAR3, IGNORAR 4, IGNORAR 5, IGNORAR 6,            
2460834.500000000, A.D. 2025-Jun-08 00:00:00.0000, -2.261755681390338E-01, -9.893823919186118E-01,  6.220698335560825E-05,  1.648828950860352E-02, -3.893629958645631E-03,  5.443149645281737E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460835.500000000, A.D. 2025-Jun-09 00:00:00.0000, -2.096565810595983E-01, -9.931363468537873E-01,  6.269191008275128E-05,  1.654893829410720E-02, -3.614155627504959E-03,  4.227336145074675E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460836.500000000, A.D. 2025-Jun-10 00:00:00.0000, -1.930791793713564E-01, -9.966104606327231E-01,  6.304752991069022E-05,  1.660512349595413E-02, -3.333953396574373E-03,  2.864136831829675E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460837.500000000, A.D. 2025-Jun-11 00:00:00.0000, -1.764478130665182E-01, -9.998040211902004E-01,  6.326136014658264E-05,  1.665687150283453E-02, -3.053053503305845E-03,  1.399854751242171E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460838.500000000, A.D. 2025-Jun-12 00:00:00.0000, -1.597669085408042E-01, -1.002716342372101E+00,  6.332590071922830E-05,  1.670420269418403E-02, -2.771477531912481E-03, -1.122224581244945E-08,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460839.500000000, A.D. 2025-Jun-13 00:00:00.0000, -1.430408759320192E-01, -1.005346755441384E+00,  6.323929917999536E-05,  1.674712874116766E-02, -2.489238895762088E-03, -1.612642228580984E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460840.500000000, A.D. 2025-Jun-14 00:00:00.0000, -1.262741192087334E-01, -1.007694601563299E+00,  6.300588894649980E-05,  1.678564987332135E-02, -2.206344311606647E-03, -3.037493147969206E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460841.500000000, A.D. 2025-Jun-15 00:00:00.0000, -1.094710488570139E-01, -1.009759226226041E+00,  6.263651745694248E-05,  1.681975246287159E-02, -1.922796167665456E-03, -4.320869730492228E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460842.500000000, A.D. 2025-Jun-16 00:00:00.0000, -9.263609673763963E-02, -1.011539976396015E+00,  6.214859810458259E-05,  1.684940711484072E-02, -1.638595592947546E-03, -5.397901637922162E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460843.500000000, A.D. 2025-Jun-17 00:00:00.0000, -7.577373258776188E-02, -1.013036201033530E+00,  6.156583660813288E-05,  1.687456728210720E-02, -1.353746102221845E-03, -6.208229586583801E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460844.500000000, A.D. 2025-Jun-18 00:00:00.0000, -5.888848165575591E-02, -1.014247255565596E+00,  6.091758550155083E-05,  1.689516839104596E-02, -1.068257900120867E-03, -6.699995365179997E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460845.500000000, A.D. 2025-Jun-19 00:00:00.0000, -4.198494288611289E-02, -1.015172511112543E+00,  6.023776462108372E-05,  1.691112768379140E-02, -7.821531451206943E-04, -6.834574660333304E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460846.500000000, A.D. 2025-Jun-20 00:00:00.0000, -2.506780664112820E-02, -1.015811369591374E+00,  5.956326326517629E-05,  1.692234546642055E-02, -4.954724643903933E-04, -6.592210446413150E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460847.500000000, A.D. 2025-Jun-21 00:00:00.0000, -8.141869972124344E-03, -1.016163285910142E+00,  5.893174511326381E-05,  1.692870900266906E-02, -2.082825119948932E-04, -5.978196204181019E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460848.500000000, A.D. 2025-Jun-22 00:00:00.0000,  8.787953923086674E-03, -1.016227797757233E+00,  5.837885795886369E-05,  1.693010044902676E-02,  7.931673244850522E-05, -5.028276876297440E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460849.500000000, A.D. 2025-Jun-23 00:00:00.0000,  2.571663649813133E-02, -1.016004561500913E+00,  5.793503953033577E-05,  1.692640938142463E-02,  3.671875783460257E-04, -3.810860928222625E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460850.500000000, A.D. 2025-Jun-24 00:00:00.0000,  4.263904894178720E-02, -1.015493389634081E+00,  5.762237612585487E-05,  1.691754835614891E-02,  6.551564300739149E-04, -2.423366557764934E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460851.500000000, A.D. 2025-Jun-25 00:00:00.0000,  5.954999270775089E-02, -1.014694282372821E+00,  5.745218142587753E-05,  1.690346738470462E-02,  9.430237738209012E-04, -9.814969536154174E-08,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460852.500000000, A.D. 2025-Jun-26 00:00:00.0000,  7.644424177119960E-02, -1.013607445574066E+00,  5.742393730382739E-05,  1.688416210322222E-02,  1.230580993692904E-03,  3.966763888220648E-08,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460853.500000000, A.D. 2025-Jun-27 00:00:00.0000,  9.331658836713930E-02, -1.012233290367795E+00,  5.752589441254837E-05,  1.685967233122806E-02,  1.517629110134259E-03,  1.607066427695582E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460854.500000000, A.D. 2025-Jun-28 00:00:00.0000,  1.101618826601105E-01, -1.010572415637583E+00,  5.773710780742016E-05,  1.683007188388745E-02,  1.803993447095451E-03,  2.571194695778687E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460855.500000000, A.D. 2025-Jun-29 00:00:00.0000,  1.269750596232413E-01, -1.008625579573658E+00,  5.803027165671206E-05,  1.679545407890766E-02,  2.089530516180806E-03,  3.240399070224349E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460856.500000000, A.D. 2025-Jun-30 00:00:00.0000,  1.437511514740924E-01, -1.006393668340203E+00,  5.837462322245469E-05,  1.675591810136594E-02,  2.374127208397549E-03,  3.593378108370367E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460857.500000000, A.D. 2025-Jul-01 00:00:00.0000,  1.604852883868353E-01, -1.003877668284229E+00,  5.873838535200654E-05,  1.671155951613705E-02,  2.657695095774474E-03,  3.629966495530106E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460858.500000000, A.D. 2025-Jul-02 00:00:00.0000,  1.771726921813559E-01, -1.001078644863905E+00,  5.909052845821723E-05,  1.666246564656617E-02,  2.940163198760981E-03,  3.364188097607674E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460859.500000000, A.D. 2025-Jul-03 00:00:00.0000,  1.938086674390632E-01, -9.979977285142431E-01,  5.940189014078342E-05,  1.660871480000608E-02,  3.221471635376581E-03,  2.818579561312765E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460860.500000000, A.D. 2025-Jul-04 00:00:00.0000,  2.103885931031447E-01, -9.946361059061014E-01,  5.964582748524840E-05,  1.655037774516758E-02,  3.501567278790009E-03,  2.020567569115845E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460861.500000000, A.D. 2025-Jul-05 00:00:00.0000,  2.269079160701960E-01, -9.909950144448236E-01,  5.979861040960228E-05,  1.648752001153348E-02,  3.780401595230625E-03,  1.000863124183336E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
